example,dist_before,dist_after,cos_before,cos_after,common_mode_shift_cosine,en_norm_before,en_norm_after,vi_norm_before,vi_norm_after
sample_0038,7.130757808685303,7.132370948791504,0.8253565430641174,0.8226086497306824,0.6985235810279846,13.826043128967285,13.786026000976562,13.619709014892578,13.483475685119629
sample_0039,5.861292839050293,6.004578590393066,0.891311764717102,0.8884260654449463,0.6574897766113281,13.684611320495605,13.794145584106445,13.875736236572266,13.957926750183105
sample_0040,12.188604354858398,11.943778991699219,0.5596345663070679,0.5674070119857788,0.2857959270477295,13.381921768188477,13.291532516479492,12.97413158416748,12.763954162597656
sample_0041,2.6699509620666504,2.525864601135254,0.9728906154632568,0.9747316837310791,0.8093575835227966,12.471540451049805,12.472582817077637,12.792226791381836,12.686788558959961
sample_0042,8.016197204589844,7.81296443939209,0.7590574026107788,0.7665697932243347,0.5385276675224304,12.660168647766113,12.697498321533203,12.330336570739746,12.256087303161621
sample_0043,14.842854499816895,14.611936569213867,0.2755174934864044,0.2713969051837921,0.23469458520412445,12.357359886169434,12.265192031860352,12.557008743286133,12.196048736572266
sample_0044,15.531634330749512,15.690923690795898,0.37402722239494324,0.3659900426864624,-0.054534755647182465,14.619000434875488,14.841841697692871,13.165762901306152,13.029332160949707
sample_0045,10.135869979858398,10.190730094909668,0.6564427614212036,0.6456589698791504,0.4548940062522888,13.43333625793457,13.353765487670898,12.813494682312012,12.609349250793457
sample_0046,9.407090187072754,9.691826820373535,0.7982556223869324,0.7834471464157104,0.43308785557746887,15.937714576721191,15.947354316711426,15.592184066772461,15.57247543334961
sample_0047,7.924310207366943,8.110004425048828,0.8069977760314941,0.7977474331855774,0.167977437376976,13.823929786682129,13.803464889526367,13.583194732666016,13.359264373779297
sample_0048,11.51499080657959,11.367303848266602,0.5299831628799438,0.529068648815155,0.32551002502441406,12.802712440490723,12.752613067626953,12.654213905334473,12.40848159790039
sample_0049,9.415576934814453,9.513589859008789,0.705754280090332,0.6954246759414673,0.48746952414512634,14.086341857910156,14.061615943908691,13.645221710205078,13.391213417053223
